"","date","sessions","transactions","clicks","impressions","ctr","position"
"1",2016-06-03,682,78,288,35512,0.00810993466997071,14.3324228429827
"2",2016-06-04,533,76,228,25727,0.0088622847592024,16.7806195825397
"3",2016-06-05,568,92,248,18341,0.0135216182323756,19.0774766915653
"4",2016-06-06,879,93,399,23385,0.0170622193713919,17.2114175753688
"5",2016-06-07,1085,86,366,22874,0.0160006994841305,20.5186674827315
"6",2016-06-08,1005,99,351,20237,0.0173444680535653,17.2424272372387
"7",2016-06-09,810,72,329,20259,0.016239695937608,18.3966138506343
"8",2016-06-10,707,61,280,20308,0.0137876698837896,18.723852668899
"9",2016-06-11,674,88,298,30537,0.00975865343681436,14.7319972492386
"10",2016-06-12,749,125,293,25305,0.0115787393795693,17.431930448528
"11",2016-06-13,1037,117,437,37999,0.0115003026395431,13.76346745967
"12",2016-06-14,878,98,388,31475,0.0123272438443209,14.5520254169976
"13",2016-06-15,973,115,318,24464,0.0129986919555265,18.8334287115762
"14",2016-06-16,865,96,353,31024,0.0113782877772047,16.1983303249097
"15",2016-06-17,735,78,298,44895,0.00663771021271857,15.110368637933
"16",2016-06-18,569,76,264,18927,0.013948327785703,19.8334125851958
"17",2016-06-19,667,111,275,19955,0.0137810072663493,19.6223001753946
"18",2016-06-20,970,118,429,21846,0.0196374622356495,18.0518172663188
"19",2016-06-21,947,83,359,21647,0.0165842841964244,19.36568577632
"20",2016-06-22,975,88,343,23745,0.0144451463465993,15.8363444935776
"21",2016-06-23,750,72,304,23892,0.0127239243261343,15.9332831073163
"22",2016-06-24,704,77,261,26125,0.00999043062200957,16.1374162679426
"23",2016-06-25,632,81,274,19049,0.0143839571631057,16.4803401753373
"24",2016-06-26,644,98,292,24244,0.0120442171258868,16.5595611285266
"25",2016-06-27,944,96,385,62756,0.0061348715660654,11.3445726305054
"26",2016-06-28,1242,101,425,56485,0.00752412144817208,12.5423740816146
"27",2016-06-29,992,122,373,50917,0.00732564762260149,13.5410570143567
"28",2016-06-30,799,100,372,38524,0.00965631813934171,14.0894247741668
"29",2016-07-01,737,70,274,30302,0.00904230743845291,16.5861329285196
"30",2016-07-02,663,70,286,21700,0.0131797235023041,18.044930875576
"31",2016-07-03,707,104,299,26442,0.0113077679449361,19.5289690643673
"32",2016-07-04,996,93,438,45847,0.00955351495190525,13.8399895303946
"33",2016-07-05,873,82,393,28781,0.0136548417358674,18.7543865744762
"34",2016-07-06,853,65,374,58412,0.00640279394644936,17.9657775799493
"35",2016-07-07,808,64,374,48945,0.00764122995198692,16.5822658085606
"36",2016-07-08,717,51,300,38717,0.0077485342356071,16.2187669499186
"37",2016-07-09,619,56,237,24425,0.00970317297850563,22.1720368474923
"38",2016-07-10,670,73,271,21100,0.0128436018957346,21.0112796208531
"39",2016-07-11,929,100,361,37413,0.00964905246839334,14.2882420549007
"40",2016-07-12,1166,69,373,40637,0.00917882717720304,13.4141545881832
"41",2016-07-13,1023,70,392,29457,0.0133075330142241,17.235597650813
"42",2016-07-14,827,59,355,31659,0.011213241100477,16.1637449066616
"43",2016-07-15,725,64,276,35656,0.00774063271258694,14.3611453892753
"44",2016-07-16,568,44,253,19497,0.0129763553367185,21.2219828691594
"45",2016-07-17,614,63,284,18868,0.0150519397922408,21.3179987280051
"46",2016-07-18,833,67,395,28749,0.0137396083342029,16.7369995478104
"47",2016-07-19,743,58,325,22772,0.0142719128754611,19.0911645880906
"48",2016-07-20,823,63,326,19506,0.0167128063160053,16.9353019583718
"49",2016-07-21,821,53,302,44679,0.00675932764833591,15.8674097450704
"50",2016-07-22,718,55,304,34195,0.00889018862406785,14.5692352683141
"51",2016-07-23,562,62,246,27862,0.00882922977532123,16.0407364869715
"52",2016-07-24,680,59,334,18297,0.0182543586380281,19.6250204951631
"53",2016-07-25,943,81,401,30416,0.0131838506049448,16.5979089952656
"54",2016-07-26,925,64,398,26804,0.0148485300701388,17.7784659006118
"55",2016-07-27,856,68,412,33868,0.0121648753986064,15.6750915318295
"56",2016-07-28,809,67,357,21083,0.0169330740406963,19.6969596357255
"57",2016-07-29,780,62,302,33893,0.00891039447673561,15.1177529283333
"58",2016-07-30,652,58,281,16338,0.0171991675847717,20.6443261109071
"59",2016-07-31,653,73,298,18691,0.0159435022203199,20.9383125568455
"60",2016-08-01,985,85,443,23058,0.0192124208517651,18.7407841096366
"61",2016-08-02,985,98,400,20901,0.0191378402947227,19.048179512942
"62",2016-08-03,1023,78,387,41313,0.00936751143707792,15.0264081523976
"63",2016-08-04,856,76,354,37088,0.00954486626402071,15.9021786022433
"64",2016-08-05,784,58,282,20643,0.0136608051155355,18.381630576951
"65",2016-08-06,565,52,231,19827,0.0116507792404297,18.450849851213
"66",2016-08-07,572,51,238,19492,0.0122101374923045,20.5603324440796
"67",2016-08-08,961,74,418,31546,0.013250491345971,13.8946300640335
"68",2016-08-09,945,75,399,31336,0.0127329588971151,15.9080929282614
"69",2016-08-10,1182,72,389,32504,0.0119677578144228,15.6691176470588
"70",2016-08-11,1003,61,374,19357,0.0193211758020354,19.7628248178953
"71",2016-08-12,762,70,289,17724,0.0163055743624464,21.2646693748589
"72",2016-08-13,588,38,232,16549,0.0140189739561303,21.894857695329
"73",2016-08-14,568,52,259,18034,0.0143617611178884,21.601752245758
"74",2016-08-15,949,60,376,30609,0.012283968767356,15.0648175373256
"75",2016-08-16,878,55,359,25690,0.0139743090696769,16.6645776566757
"76",2016-08-17,808,70,339,20045,0.0169119481167373,19.0525318034423
"77",2016-08-18,821,50,360,41173,0.00874359410293153,13.1837612027299
"78",2016-08-19,793,53,329,33666,0.00977247074199489,13.7874116319135
"79",2016-08-20,673,59,256,15876,0.0161249685059209,20.7782816830436
"80",2016-08-21,740,70,304,16636,0.0182736234671796,20.6921134888194
"81",2016-08-22,1024,81,392,36464,0.0107503290917069,14.5688350153576
"82",2016-08-23,1003,62,328,23367,0.0140368896306757,17.7335558693885
"83",2016-08-24,917,64,302,25206,0.0119812742997699,17.598309926208
"84",2016-08-25,855,70,318,17752,0.0179134745380802,20.4888463271744
"85",2016-08-26,741,57,287,25054,0.0114552566456454,15.5956733455736
"86",2016-08-27,633,67,232,16812,0.013799666904592,21.3807399476564
"87",2016-08-28,566,52,253,16513,0.0153212620359717,22.2272149215769
"88",2016-08-29,668,63,287,16269,0.0176409121642387,20.2886471202901
"89",2016-08-30,865,68,377,36161,0.0104255966372611,13.8942507120931
"90",2016-08-31,889,67,358,38482,0.00930305077698664,14.7722831453667
